year,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,temperature_2m_max,temperature_2m_min,temperature_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m,dew_point_2m,surface_pressure,vapour_pressure_deficit,soil_temperature_100_to_255cm,soil_moisture_100_to_255cm,wet_bulb_temperature_2m,total_column_integrated_water_vapour,direct_radiation,urban,rural
2013,0.0,0.07,0.18,0.02,0.01,0.0,0.6,0.13,29.3556,14.7786,22.4693,12.6567,28.9764,34.4169,2.295,969.2651,2.3955,25.203,0.1515,11.9665,16.2636,196.926,32.99999999999999,67.0
2019,0.0,0.07,0.36,0.07,0.03,0.0,0.01,0.46,29.4956,15.6118,22.4595,15.2732,32.9175,37.2406,3.8119,969.1927,2.3068,24.2536,0.1433,12.5005,17.5035,171.8299,89.0,10.999999999999998
