year,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,temperature_2m_max,temperature_2m_min,temperature_2m_mean,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m,dew_point_2m,surface_pressure,vapour_pressure_deficit,soil_temperature_100_to_255cm,soil_moisture_100_to_255cm,wet_bulb_temperature_2m,total_column_integrated_water_vapour,direct_radiation,urban,rural
2012,0.0,0.32,0.15,0.03,0.1,0.0,0.39,0.01,26.0921,18.2311,22.0243,19.0798,35.7199,77.1364,17.4911,1016.2397,0.6631,22.998,0.3358,19.0609,30.4479,134.0361,19.0,81.0
2018,0.0,0.39,0.1,0.19,0.01,0.05,0.01,0.26,24.2118,18.4348,21.2789,22.0564,41.3605,79.2435,17.311,1017.1422,0.5555,22.2822,0.3783,18.6919,34.1474,118.1269,55.00000000000001,44.99999999999999
